osm_id,name,operator,telecom,building,addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,source_layer,lat,lon,geometry
,Equinix NY7 Data Center,,,data_center,,,,,,polygons,40.79686485,-74.03114034212405,"MULTIPOLYGON (((-74.031732 40.7964859, -74.031175 40.7962663, -74.0305486 40.7972438, -74.0311087 40.7974589, -74.031732 40.7964859)))"
,Equinix SV4,,,data_center,,,,,,polygons,37.41460445,-122.01455581751013,"MULTIPOLYGON (((-122.0150287 37.4137845, -122.0149503 37.4140226, -122.0144294 37.4139144, -122.0143758 37.4140772, -122.0145736 37.4141182, -122.0145441 37.4142078, -122.0141962 37.4141354, -122.0139493 37.4148843, -122.013896 37.4150477, -122.014036 37.4150765, -122.0140193 37.4151278, -122.014551 37.4152373, -122.0146102 37.4150558, -122.0149031 37.4151161, -122.0151614 37.4143246, -122.0150576 37.4143032, -122.0150783 37.4142398, -122.0151818 37.4142611, -122.0152114 37.4141709, -122.0151093 37.4141497, -122.0152166 37.4138235, -122.0150287 37.4137845)))"
,Aureon,,,yes,,,,,,polygons,41.5879894,-93.63100683162563,"MULTIPOLYGON (((-93.6311986 41.5881429, -93.6308955 41.588179, -93.6308097 41.5879523, -93.6308338 41.5879443, -93.6308016 41.587862, -93.6310672 41.5878038, -93.6311101 41.5879021, -93.631153 41.5878921, -93.631204 41.5880265, -93.6311771 41.5880365, -93.6311879 41.5880646, -93.6311691 41.5880686, -93.6311986 41.5881429)))"
,Intergate Manhattan,,,data_center,,,,,,polygons,40.71087935,-74.00118711356961,"MULTIPOLYGON (((-74.0014018 40.7105866, -74.0012116 40.7105069, -74.0010367 40.7107429, -74.0009867 40.7107217, -74.0008416 40.7109192, -74.0008915 40.7109404, -74.0008226 40.7110341, -74.0010232 40.7111195, -74.0009874 40.7111682, -74.0011771 40.7112489, -74.0012565 40.7111408, -74.0013409 40.7111763, -74.001545 40.7108968, -74.0014617 40.7108619, -74.0015683 40.7107222, -74.001365 40.710637, -74.0014018 40.7105866)))"
,Equinix SV8,,,data_center,,,,,,polygons,37.44591575,-122.16074213472186,"MULTIPOLYGON (((-122.1606755 37.4458734, -122.1609444 37.4456064, -122.161101 37.4457058, -122.160957 37.4458487, -122.1609338 37.445834, -122.1608088 37.4459581, -122.1608339 37.445974, -122.1606191 37.4461872, -122.1604735 37.4460948, -122.1604606 37.4460866, -122.1606755 37.4458734)))"
,Telegraph Building,,,yes,,,,,,polygons,41.87611225,-87.63150881250675,"MULTIPOLYGON (((-87.6316943 41.8764371, -87.6316772 41.8757654, -87.6314026 41.8757678, -87.6314014 41.875787, -87.6313167 41.8757874, -87.6313466 41.8764395, -87.6316943 41.8764371)))"
,,,,data_center,,,,,,polygons,38.91371305,-77.22583323152261,"MULTIPOLYGON (((-77.2255572 38.9137509, -77.2259183 38.913958, -77.2259944 38.9139487, -77.2261027 38.9138369, -77.2260898 38.9137807, -77.2261159 38.9137411, -77.2261055 38.913685, -77.2260551 38.9136621, -77.2260536 38.9135995, -77.2257857 38.9134459, -77.2257127 38.9134519, -77.2255525 38.9136271, -77.2255572 38.9137509)))"
,Equinix SV5,,,data_center,,,,,,polygons,37.24189425,-121.78159761972707,"MULTIPOLYGON (((-121.7831041 37.242353, -121.7826585 37.242832, -121.7826397 37.242821, -121.7822139 37.2425705, -121.7819163 37.2423954, -121.7818405 37.2424763, -121.7804664 37.2416587, -121.780557 37.2415621, -121.7805971 37.241586, -121.7806737 37.2416316, -121.7807491 37.2415512, -121.7807611 37.2415385, -121.7808848 37.2414067, -121.7810116 37.2414822, -121.7811716 37.2413118, -121.7813101 37.2413942, -121.7813367 37.2413659, -121.7818082 37.2416468, -121.7819114 37.2417083, -121.7819505 37.2416667, -121.7819579 37.2416711, -121.7826455 37.2420802, -121.7830405 37.2423152, -121.7831041 37.242353)))"
,Colosseum Online Inc.,,,yes,,,,,,polygons,43.77945175,-79.48981970940896,"MULTIPOLYGON (((-79.4899936 43.7796936, -79.4897827 43.7797399, -79.4897905 43.7797584, -79.4895181 43.7798182, -79.4895385 43.7798668, -79.4893722 43.7799033, -79.4892447 43.7796004, -79.4895876 43.7795252, -79.4896021 43.7795595, -79.4896865 43.779541, -79.4897021 43.7795779, -79.489798 43.7795569, -79.4897684 43.7794865, -79.4897107 43.7794992, -79.4896334 43.7793155, -79.4896834 43.7793045, -79.4896498 43.7792247, -79.489557 43.779245, -79.4895778 43.7792945, -79.4894896 43.7793138, -79.4895009 43.7793406, -79.4891523 43.779417, -79.4890285 43.7791227, -79.4891841 43.7790885, -79.4892095 43.779149, -79.4896902 43.7790435, -79.4897771 43.7790664, -79.4900342 43.7796438, -79.4899936 43.7796936)))"
,,,,yes,,,,,,polygons,35.89826565,-81.54737429595463,"MULTIPOLYGON (((-81.5464023 35.8983718, -81.546604 35.8979596, -81.5465616 35.8979468, -81.5466201 35.8978249, -81.5466684 35.8978379, -81.5467218 35.8977126, -81.5483206 35.8981986, -81.5482681 35.8983327, -81.5485256 35.8984065, -81.5482573 35.898941, -81.5472102 35.8986158, -81.5471941 35.8986549, -81.5471083 35.8986288, -81.5471265 35.8985938, -81.5464023 35.8983718)))"
