HUC8,WSF_1MW_DC,WF_1MW_DC,CF_1MW_DC,WF_norm,CF_norm,WSF_norm,Risk_score_equal_weights
11040005,182.53319404610127,6.346833285355868,0.6555453685225819,0.04364696974881275,0.6553504397882652,0.5984454102841071,0.43248093994039505
15080301,30.85620021235883,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.10017212346312565,0.43165290426591385
18040051,29.973834207429405,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.09727346758696023,0.43068668564052537
16030006,107.51579350145111,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.3520061462048012,0.4286229459882506
15080302,27.798097487469764,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.09012596644450142,0.42830418525970576
15080200,27.48328211739644,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.0890917681443944,0.42795945249300343
13020202,27.426313822678306,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.08890462190199917,0.427897070412205
15010007,106.55399018088062,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.3488465312249493,0.42756974099496664
16020302,126.88188863291703,4.094840411263438,0.841531724171256,0.022029140661780133,0.841281491736162,0.415625602459456,0.42631207828579937
10050006,46.751615257626824,34.896061980814984,0.8082771730854246,0.31770305296522505,0.8080368290087336,0.15239006700089772,0.4260433163249521
15030203,79.02508865468073,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.2584114830391561,0.425300773398352
10050003,45.99837923473597,34.896061980814984,0.8082771730854246,0.31770305296522505,0.8080368290087336,0.14991561534286194,0.4252184991056069
15040007,24.46137718318878,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.07916452429567553,0.42465037121009713
10050010,44.09800541435916,34.896061980814984,0.8082771730854246,0.31770305296522505,0.8080368290087336,0.14367270739925098,0.42313752979106983
15040002,21.58434053284045,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.06971318647680468,0.4214999252704735
15020006,100.69476363689556,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.3295984172261953,0.42115370299538196
15060201,75.02979871429241,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.24528657727670272,0.4209258048108675
10050014,41.865262672016414,34.896061980814984,0.8082771730854246,0.31770305296522505,0.8080368290087336,0.13633793607544512,0.4206926060164679
15040005,20.52915995744319,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.06624681837308846,0.42034446923590146
15070201,19.993776414752407,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.06448803274064897,0.4197582073584216
10050008,40.60951329803165,34.896061980814984,0.8082771730854246,0.31770305296522505,0.8080368290087336,0.1322126804767969,0.4193175208169185
13020201,19.331170730231854,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.06231131032581645,0.4190326332201441
10190014,70.64017475475963,3.8262122462735015,1.0002974419829178,0.01945046564663117,1.0,0.23086624692243674,0.41677223752302267
15050203,70.7985335684695,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.23138647062024273,0.4162924359253808
15050301,70.3058187461144,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.22976785577434594,0.4157528976434152
15030202,69.79985497776039,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.22810571688631906,0.41519885134740625
15010003,94.8843591108932,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.3105106881794014,0.4147911266464506
10080006,94.99262989382142,3.97885570231143,0.9100814816869359,0.02091575453890254,0.9098108657389503,0.3108663679533259,0.4138643294103929
16030007,114.962379293469,4.094840411263438,0.841531724171256,0.022029140661780133,0.841281491736162,0.37646888563811487,0.4132598393453523
15060105,67.1773600922151,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.21949057286702103,0.4123271366743069
15060202,66.75184458750414,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.21809271414259232,0.41186118376616404
16060015,161.3460924987503,39.04670701063572,0.3488493017434048,0.35754684460766845,0.34874557016947977,0.5288437755247826,0.411712063433977
18040002,20.860033468081205,101.54620600324039,0.20986840456023081,0.9575058865703567,0.20980599944772704,0.06733376918547279,0.4115485517345188
15070103,176.20989758880114,22.64458705493853,0.45624781950112125,0.2000959796664698,0.45611215259801957,0.5776727826779983,0.41129363831416255
15050100,66.07308347235853,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.21586291960842194,0.4111179189214405
15060203,65.11323668022185,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.21270973200973597,0.41006685638854523
10030204,31.708941697975828,34.896061980814984,0.8082771730854246,0.31770305296522505,0.8080368290087336,0.10297345998824647,0.4095711139874017
15010004,91.19738036700898,21.633565473314498,0.7288462702406442,0.19039075723602233,0.7286295452239003,0.2983986138910093,0.40580630545031066
15010008,86.395395448197,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.28262363873964297,0.40549544349986455
