id,name,state,county,facility_area_sqft,lat,lon,source_layer,source_file
12112382397,Flexential Salt Lake City - Lindon,UT,Utah County,,40.33264800000003,-111.7278754,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12221811811,Digital Realty New York JFK13,NY,New York County,,40.71992800000002,-74.00445830000001,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12221880448,Digital Realty New York JFK12,NY,New York County,,40.717676600000004,-74.0084414,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12331366645,CoreSite AT1,GA,Fulton County,,33.75598569999999,-84.3911712,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12387534800,UNM Data Center,NM,Bernalillo County,,35.08673849999998,-106.6153476,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12437277166,Prime Santa Clara,CA,Santa Clara County,,37.3666621,-121.96286529999999,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12452254071,Open Data Centers Piscataway,NJ,Middlesex County,,40.55035010000003,-74.4568563,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12471740457,H5 Secaucus,NJ,Hudson County,,40.785394800000006,-74.0750122,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12550746951,"Forescout Technologies, Inc.",CA,Santa Clara County,,37.322867500000015,-121.9474176,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12682482760,Lumen Albany 4,NY,Albany County,,42.73563079999996,-73.818665,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12695496267,Equinix Chicago Data Center - CH1,IL,Cook County,,41.853557800000004,-87.6180475,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12708029111,501 West,NJ,Mercer County,,40.315558000000024,-74.6688514,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12766117170,Dataverge,NY,Kings County,,40.65769569999999,-74.0048163,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12793428582,TulsaConnect DC3,OK,Tulsa County,,36.09947349999995,-95.8382826,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
13019681063,Comarch,AZ,Maricopa County,,33.35667870000003,-111.6352356,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
13042311881,CoreSite - LA2,CA,Los Angeles County,,34.0584789,-118.23591439999998,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
13154826377,Equinix,VA,Loudoun County,,39.013791700000006,-77.45379770000001,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
13154826378,NTT Ashburn VA7 Data Center,VA,Loudoun County,,39.01601419999996,-77.47195400000001,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
13154826379,NTT VA11 Data Center,VA,Prince William County,,38.79997309999995,-77.6099636,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
13226718075,Lumen Madison 1 Data Center,WI,Dane County,,43.067716100000005,-89.3922794,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
13311012216,Fiberhub LAS1,NV,Clark County,,36.065940500000025,-115.1398835,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
